product_id,product_name,category,price,generated_description
27,Computer Networks Book 27,Books,458.68,"A computer networks book is a resource for learning about computer networks, providing information on the fundamental concepts, protocols, and technologies that enable communication between devices. This book is a valuable resource for those seeking to understand computer networks, either for educational or professional purposes."
28,Java Programming Book 28,Books,467.61,"This Java Programming Book 28 is a comprehensive resource for learning the programming language Java. It belongs to the Books category, making it an ideal addition to anyone's library or study collection. The book provides in-depth guidance on Java programming concepts and techniques, catering to students and professionals alike."
29,Algorithms Book 29,Books,2156.86,The Algorithms Book 29 is a book suitable for studying algorithms and computer science concepts. It belongs to the Books category.
30,Cloud Computing Book 30,Books,1608.38,"This Cloud Computing Book 30 is a book in the category of books, suitable for individuals interested in cloud computing and related subjects. It provides information and insights on cloud computing concepts and practices. The book is priced at ₹1608.38 and is intended to support learning and professional development in the field of cloud computing."
31,Table Lamp 31,Home,9743.4,The Table Lamp 31 is a home lighting fixture designed to provide ambient illumination. It is a table lamp suitable for general lighting needs.
32,Ergonomic Office Chair 32,Home,8837.86,"This Ergonomic Office Chair 32 is designed for comfort and support in a home setting, allowing users to work or relax in a more relaxed position. Its category aligns with home furnishings, making it a suitable addition to any living space."
33,Cotton Bed Sheet 33,Home,6573.87,A Cotton Bed Sheet 33 is a home textile product suitable for bed use.
34,Window Curtains 34,Home,11685.45,"Window Curtains 34 are a home product designed to provide privacy and decoration for windows. Suitable for general home use, they offer a functional solution for window treatment. This product falls under the home category and is priced at ₹11685.45."
35,Wall Clock 35,Home,4728.85,"This Wall Clock 35 is a time-keeping device suitable for display in a home setting, fitting within a 35-inch circumference. It is categorized under Home decor."
36,Storage Organizer 36,Home,6758.88,"A Storage Organizer 36 is a home storage solution designed to keep your belongings organized and clutter-free. It provides a compact and convenient way to store and manage personal items. Suitable for use in homes, offices, and other indoor spaces."
37,Decorative Cushion 37,Home,10004.03,"This decorative cushion is a home accessory designed to add a touch of comfort and style to your living space. Suitable for use on sofas, armchairs, or ottomans, it is a simple and elegant way to enhance the aesthetic of your home. Its durable construction makes it a long-lasting addition to your decor."
38,Desk Organizer 38,Home,7536.68,"The Desk Organizer 38 is a home product designed to keep your workspace tidy and organized. It is suitable for storing office supplies, paperwork, and other essentials. This desk organizer provides a convenient place to place frequently used items, promoting a clutter-free workspace. Its compact size makes it ideal for use on a desk or office table."
39,Steel Water Bottle 39,Home,10381.97,A Steel Water Bottle 39 is a water bottle suitable for hydration purposes in a home setting.
40,Home Decor Set 40,Home,7055.02,"A Home Decor Set 40 is a home furnishing product, designed to enhance the aesthetic of a room. It falls under the category of Home and is priced at ₹ ₹7055.02."
41,Football 41,Sports,7163.89,The Football 41 is a sports equipment item designed for playing football.
42,Cricket Bat 42,Sports,839.91,"The Cricket Bat 42 is a sports equipment designed for cricket players. It is a bat, used for playing the sport of cricket. This bat is categorized under sports equipment. It is priced at ₹839.91."
43,Badminton Racket 43,Sports,2587.82,This badminton racket is a sports equipment designed for playing badminton. badminton. It is suitable for the sport category.
44,Tennis Ball Set 44,Sports,3178.12,"A tennis ball set suitable for playing tennis, a popular sport. This set is categorized under sports equipment. It is available for ₹3178.12."
45,Gym Gloves 45,Sports,1166.0,"The Gym Gloves 45 are sports equipment designed for use during physical activities such as weightlifting, cardio exercises, and other gym workouts. workouts. They are intended to provide grip and protection for the hands during these activities."
46,Yoga Mat 46,Sports,2634.79,"A yoga mat designed for fitness and flexibility, suitable for yoga and other low-impact exercises, is a must-have accessory for those practicing yoga or engaging in similar physical activities."
47,Skipping Rope 47,Sports,1369.61,A skipping rope is a rope used for skipping. It is suitable for physical exercise and outdoor activities. The Skipping Rope 47 is designed for this purpose and falls under the Sports category.
48,Sports Shoes 48,Sports,3068.55,"Sports Shoes 48 are designed for athletes and fitness enthusiasts, suitable for various sports and activities. these shoes provide support and comfort for performance and everyday wear. Ideal for running, training, and other sports, they are a versatile and practical choice for anyone looking for a reliable pair of shoes."
49,Adjustable Dumbbells 49,Sports,6502.57,"Adjustable dumbbells 49 are sports equipment designed for weightlifting and strength training. Suitable for home use or gym workouts, they offer a convenient and space-saving way to work out. Ideal for those looking to improve their strength and fitness, these dumbbells are a versatile and essential tool for any sports enthusiast."
50,Fitness Band 50,Sports,3902.39,"A fitness band designed for athletes, the Fitness Band 50 is a sports category product. It is available for ₹3902.39."
51,Face Wash 51,Beauty,1976.87,The Face Wash 51 is a beauty product suitable for cleaning and maintaining skin health.
52,Moisturizer 52,Beauty,1205.63,"A moisturizer suitable for skincare purposes, falling under the category of Beauty, priced at ₹1205.63."
53,Shampoo 53,Beauty,1481.49,The Shampoo 53 is a beauty product suitable for personal hair care.
54,Perfume 54,Beauty,4695.94,This perfume is a beauty product for personal fragrance use. It belongs to the category of beauty products. The product is priced at ₹4695.94.
55,Sunscreen 55,Beauty,3310.57,Sunscreen 55 is a beauty product suitable for protecting skin from the sun. sun. It is part of the beauty category. This product is priced at ₹3310.57.
56,Lip Balm 56,Beauty,3123.83,"This Lip Balm 56 is a beauty product designed to moisturize and protect dry, chapped lips. Suitable for everyday use, it provides a gentle and soothing solution to keep lips healthy and hydrated. Its affordable price makes it an accessible option for those looking for a reliable lip care product."
57,Hair Oil 57,Beauty,1021.47,This Hair Oil 57 is a beauty product suitable for hair care and maintenance.
58,Body Lotion 58,Beauty,3699.81,"This Body Lotion 58 is a beauty product suitable for moisturizing and nourishing the skin. It falls under the category of beauty products, designed to promote healthy and hydrated skin. The product is priced at ₹ ₹3699.81 and is intended to provide moisturizing benefits."
59,Face Cream 59,Beauty,984.33,"A beauty product suitable for skin care, specifically a moisturizing face cream, is the Face Cream 59."
60,Beauty Care Kit 60,Beauty,2021.39,This Beauty Care Kit 60 is a beauty product designed for personal grooming and skincare needs. It belongs to the beauty category and is priced at ₹ ₹2021.39.
61,Smartphone 61,Electronics,79177.58,A smartphone is a portable communication device suitable for personal and social interactions.
62,Laptop 62,Electronics,51739.98,"This Laptop 62 is a computing device suitable for general computing tasks, such as browsing the internet, checking emails, and working with office applications. It falls under the category of electronics, making it a versatile option for those looking for a basic laptop for everyday use."
63,Wireless Headphones 63,Electronics,45220.55,"Wireless Headphones 63 are a type of Electronics suitable for listening to music or making phone calls on the go. They are designed for personal use, providing a convenient way to stay connected without the hassle of cables. Their price is ₹45220.55, making them a for those seeking wireless audio."
64,Smartwatch 64,Electronics,55242.22,"This smartwatch is an electronics product, designed to be worn on the wrist. It falls under the category of wearable devices, intended for general monitoring and tracking purposes. With a price of ₹55242.22, it is available for purchase."
65,Tablet 65,Electronics,67663.88,"A tablet suitable for general computing tasks, entertainment, and multimedia consumption."
66,Digital Camera 66,Electronics,62415.99,This digital camera is an electronic device suitable for capturing photos and recording videos.
67,Mechanical Keyboard 67,Electronics,19480.27,"A mechanical keyboard is an input device designed for typing and gaming, suitable for computer users."
68,Wireless Mouse 68,Electronics,4019.87,"A wireless mouse, categorized under Electronics, designed for general computer use, allowing users to navigate and interact with digital content."
69,Computer Monitor 69,Electronics,26263.06,"The Computer Monitor 69 is an electronics product designed to display visual information. It belongs to the category of display devices used for general use in various settings. This monitor is priced at ₹26263.06, offering a solution for those seeking a display device for their needs."
70,Bluetooth Speaker 70,Electronics,22517.66,A Bluetooth Speaker 70 is an electronic device suitable for playing music and other audio content wirelessly. It is a part of the Electronics category. The device is priced at ₹22517.66.
71,Cotton T-Shirt 71,Fashion,1924.57,"A cotton t-shirt suitable for casual wear, part of the fashion category. Made from cotton fabric, this t-shirt is ideal for everyday use. Its simple design makes it a versatile addition to any wardrobe. Perfect for staying comfortable and stylish."
72,Slim Fit Jeans 72,Fashion,7560.4,"Slim Fit Jeans 72 are a pair of fashion jeans designed for everyday wear. Suitable for casual occasions, these slim fit jeans cater to individuals seeking a stylish and comfortable addition to their wardrobe. Ideal for dressing up or down, they are a versatile fashion item."
73,Casual Jacket 73,Fashion,7048.03,The Casual Jacket 73 is a fashion item suitable for casual wear.
74,Running Sneakers 74,Fashion,2723.02,"Running Sneakers 74 are fashion footwear designed for casual wear. They are suitable for everyday activities such as running errands or engaging in leisure activities. Their style is geared towards fashion enthusiasts, adding a touch of elegance to any outfit. With a price of ₹2723.02, they are a for those seeking stylish footwear."
75,Pullover Hoodie 75,Fashion,5346.88,"A pullover hoodie 75 is a casual, fashion-forward garment suitable for everyday wear. Perfect for layering, it provides comfort and versatility. This pullover hoodie is part of the fashion category, making it a great addition to any wardrobe."
76,Travel Backpack 76,Fashion,3346.37,"This Travel Backpack 76 is a fashion accessory suitable for daily travel and outings. Made of a durable material, it features a classic design that can be easily packed and carried. Its functional design allows for a comfortable carry, making it a versatile choice for daily commutes."
77,Wrist Watch 77,Fashion,7342.02,"The Wrist Watch 77 is a fashion accessory designed to be worn on the wrist. wrist. It falls under the category of Fashion, making it suitable for dressing up or casual occasions. This wrist watch is priced at ₹7342.02, allowing users to make a stylish statement with their accessories."
78,Sunglasses 78,Fashion,3833.16,Sunglasses 78 are fashion accessories suitable for enhancing visual comfort and style.
79,Casual Shoes 79,Fashion,2339.58,Casual Shoes 79 are a fashion footwear option. They are designed for everyday wear and casual occasions. These shoes are part of the wider fashion category. They are available for purchase at ₹2339.58.
80,Baseball Cap 80,Fashion,2199.03,"This Baseball Cap 80 is a fashion accessory, suitable for casual wear. It is designed to provide a stylish head covering with a simple, classic design. The cap is made from a breathable material and features a secure fastening system at the back. Available for ₹2199.03."
81,Python Programming Book 81,Books,1513.08,A Python Programming Book 81 is a comprehensive book suitable for learning Python programming.
82,Data Science Book 82,Books,841.17,"This Data Science Book 82 is a book in the Books category, intended for educational purposes related to data science."
83,Machine Learning Book 83,Books,1565.32,"A Machine Learning Book 83 is a book suitable for learning and understanding machine learning concepts and theories. It falls under the category of Books, providing a resource for those interested in machine learning. This book is priced at ₹1565.32."
84,AI Fundamentals Book 84,Books,2270.1,The AI Fundamentals Book 84 is a comprehensive book available in the Books category.
85,Database Systems Book 85,Books,1148.65,"A comprehensive database systems book is a resource for understanding and working with database technology. It provides information on database systems, their design, implementation, and management. The book is suitable for those studying or working in the field of database systems, offering a detailed overview of the subject."
86,Operating Systems Book 86,Books,743.47,The Operating Systems Book 86 is a comprehensive guide. It belongs to the Books category. The product costs ₹743.47. This book is suitable for those interested in operating systems.
87,Computer Networks Book 87,Books,2494.46,"This book, ""Computer Networks Book 87"", is a resource for those interested in the field of computer networks, falling under the category of Books."
88,Java Programming Book 88,Books,1396.43,"This Java Programming Book is a resource for learning and understanding Java programming concepts. It belongs to the Books category, making it suitable for individuals looking to improve their programming skills. The book provides a comprehensive guide to Java programming, perfect for students, developers, and programmers seeking to expand their knowledge."
89,Algorithms Book 89,Books,454.55,The Algorithms Book 89 is a book suitable for those interested in algorithms and computer science. It falls under the category of Books and is priced at ₹454.55. This book can be a resource for individuals looking to learn about algorithms and their applications.
90,Cloud Computing Book 90,Books,356.01,The Cloud Computing Book 90 is a book suitable for learning about cloud computing concepts. It belongs to the Books category and is priced at ₹356. ₹356.01.
91,Table Lamp 91,Home,1582.89,Table Lamp 91 is a home lighting fixture designed to provide ambient illumination in residential spaces. It is a table-based lamp suitable for general lighting purposes.
92,Ergonomic Office Chair 92,Home,7641.12,"This Ergonomic Office Chair 92 is designed for comfort and support in the home setting, providing a suitable environment for working or relaxing. Its purpose is to offer a comfortable seating solution for individuals."
93,Cotton Bed Sheet 93,Home,9567.33,"A cotton bed sheet is a textile product designed for use on a bed, providing comfort and hygiene for sleeping. This sheet is part of home furnishings, intended for personal use. It is priced at ₹9567.33."
94,Window Curtains 94,Home,5239.27,"Window Curtains 94 are a home decor product suitable for window treatments. treatments. They are designed to provide privacy, block out light, and add a touch of style to any room. these curtains come in a and are available for ₹5239.27."
95,Wall Clock 95,Home,1043.27,"A wall clock is a time-telling device for indoor use, commonly found in homes. It serves as a decorative and functional piece to display the time, adding a sense of organization and rhythm to a room. Suitable for various home settings, this wall clock is a practical and aesthetically pleasing addition."
96,Storage Organizer 96,Home,4764.95,"A Storage Organizer 96 is a storage solution designed for home use, helping to keep living spaces tidy and organized. It is a product within the Home category, intended to provide a convenient way to manage and store personal items."
97,Decorative Cushion 97,Home,11954.62,"A decorative cushion, suitable for use in home settings to add comfort and style to upholstery."
98,Desk Organizer 98,Home,6490.64,"The Desk Organizer 98 is a home accessory designed to help keep your workspace tidy and organized. Its purpose is to provide a convenient place to store office supplies and other daily essentials, promoting a clutter- clutter-free environment. It is part of the Home category."
99,Steel Water Bottle 99,Home,11661.62,"Steel Water Bottle 99 is a water bottle designed for everyday use. It belongs to the Home category, making it suitable for indoor storage and use. This water bottle is available for ₹11661.62."
100,Home Decor Set 100,Home,10371.12,"A home decor set of 100, categorized under home, is an assortment of decorative items for indoor use. It is intended for enhancing the aesthetic appeal of a room."
101,Football 101,Sports,510.22,"A football is a ball used in the sport of football. It is a sports equipment designed for playing football, a popular team sport."
102,Cricket Bat 102,Sports,7318.93,The Cricket Bat 102 is a sports equipment item designed for use in the sport of cricket. It is a bat used to hit the cricket ball. The bat is suitable for players of various skill levels and is a fundamental part of the game. It is made of the same material as other cricket bats and is used in matches and practice sessions.
103,Badminton Racket 103,Sports,6944.42,The Badminton Racket 103 is a sports equipment designed for playing badminton. It is suitable for individuals and teams looking to enhance their badminton game. This racket is categorized under sports and is priced at ₹6944.42.
104,Tennis Ball Set 104,Sports,5554.92,"A tennis ball set of 104 is a sports equipment designed for playing tennis. tennis. Suitable for recreational and competitive players, this set consists of tennis balls. Ideal for regular practice sessions, matches, and training, this tennis ball set is a must-have for tennis enthusiasts."
105,Gym Gloves 105,Sports,2961.52,"Gym Gloves 105 are designed for sports enthusiasts, providing grip and protection during workouts. Suitable for various sports and activities, these gloves help improve performance and reduce risk of injury. Made from durable material, they offer a secure fit and comfort during exercise."
106,Yoga Mat 106,Sports,6553.23,"A yoga mat designed for athletes and fitness enthusiasts, suitable for various yoga styles and routines, falls under the category of sports equipment. This yoga mat is priced at ₹6553.23 and serves as a fundamental tool for practicing yoga and other exercises."
107,Skipping Rope 107,Sports,1470.9,"A skipping rope is a device designed for physical exercise, typically used in sports and fitness activities. It is a tool used to improve cardiovascular health and burn calories. Suitable for those involved in sports and fitness, this product is designed to provide a cardiovascular workout."
108,Sports Shoes 108,Sports,4573.75,"Sports Shoes 108 are designed for athletic performance. Suitable for various sports and physical activities, they provide comfort and support. Made for sports enthusiasts, these shoes are ideal for running, training, and other high-intensity workouts. Available for ₹4573.75."
109,Adjustable Dumbbells 109,Sports,4755.75,"Adjustable dumbbells 109 are a sports equipment designed for weight training and fitness exercises. Suitable for home workouts, these dumbbells offer adjustable resistance levels to cater to different fitness needs. Perfect for building strength and endurance, they are an essential tool for anyone looking to improve their physical fitness."
110,Fitness Band 110,Sports,9556.63,"This Fitness Band 110 is a sports accessory designed for athletes and fitness enthusiasts. It belongs to the sports category, where users can track their physical activities and monitor their progress."
111,Face Wash 111,Beauty,4404.09,This Face Wash 111 is a beauty product for cleansing the skin. It falls under the category of Beauty. The product has a price of ₹4404.09.
112,Moisturizer 112,Beauty,1464.27,Moisturizer 112 is a beauty product suitable for skin care.
113,Shampoo 113,Beauty,2602.81,"A shampoo suitable for personal hygiene and grooming needs, falling under the category of Beauty."
114,Perfume 114,Beauty,1057.53,The Perfume 114 is a beauty product suitable for personal fragrance use.
115,Sunscreen 115,Beauty,4580.61,This sunscreen is a beauty product used to protect the skin from the sun.
116,Lip Balm 116,Beauty,4378.49,The Lip Balm 116 is a beauty product designed for lip care. It is a moisturizing lip balm suitable for general lip care tasks.
117,Hair Oil 117,Beauty,1632.53,Hair Oil 117 is a beauty product for use in hair care. It is suitable for conditioning and nourishing hair.
118,Body Lotion 118,Beauty,3266.96,"This Body Lotion 118 is a beauty product designed to moisturize and nourish the skin. It is part of the beauty category, suitable for general skin care needs."
119,Face Cream 119,Beauty,3123.06,"The Face Cream 119 is a beauty product designed for skin care. It belongs to the category of beauty products, used for general skin care purposes. The product is priced at ₹3123.06."
120,Beauty Care Kit 120,Beauty,933.63,"The Beauty Care Kit 120 is a comprehensive beauty care solution suitable for general beauty care tasks. It is a part of the beauty category, designed to meet everyday beauty care needs."
121,Smartphone 121,Electronics,61357.1,"This smartphone is designed for everyday use, suitable for communication, entertainment, and basic tasks. It belongs to the electronics category, where you can find other devices for staying connected and accessing information. The smartphone is priced at ₹61357.1."
122,Laptop 122,Electronics,43841.25,"This laptop is a computing device suitable for general computing tasks, allowing users to work, browse, and stay connected on the go. With its electronic design, it is categorized under the broader electronics category. Available for purchase at ₹43841.25."
123,Wireless Headphones 123,Electronics,62622.18,"Wireless Headphones 123 are a type of electronics suitable for listening to music, podcasts, or making phone calls on-the-go. They are designed for personal audio entertainment and are categorized under electronics. Available for purchase at ₹62622.18."
124,Smartwatch 124,Electronics,43132.76,The Smartwatch 124 is an electronic timepiece designed to be worn on the wrist. It is a product within the category of Electronics. This device is suitable for monitoring daily activities and staying connected.
125,Tablet 125,Electronics,1544.89,This Tablet 125 is an electronics product designed for personal use. It belongs to the electronics category. The tablet is priced at ₹1544.89.
126,Digital Camera 126,Electronics,26946.25,"This digital camera is an electronic device designed to capture and record visual content. It belongs to the Electronics category, where it can be used for various photography purposes. The camera is priced at ₹26946.25."
127,Mechanical Keyboard 127,Electronics,3028.92,A mechanical keyboard is a typing device suitable for typing tasks.
128,Wireless Mouse 128,Electronics,74434.24,This Wireless Mouse 128 is an electronics product suitable for general computer use.
129,Computer Monitor 129,Electronics,70479.67,"A computer monitor 129 is an electronics product designed to display visual content for various tasks. Suitable for general computing, it provides a visual interface for users to interact with digital information."
130,Bluetooth Speaker 130,Electronics,66785.74,A Bluetooth Speaker 130 is an electronics product suitable for listening to music or podcasts.
131,Cotton T-Shirt 131,Fashion,2667.86,"This Cotton T-Shirt 131 is a fashion item suitable for casual wear. It is a basic, everyday top made from cotton. It can be worn on its own or layered under jackets or cardigans."
132,Slim Fit Jeans 132,Fashion,746.02,"Slim Fit Jeans 132 is a fashionable clothing item suitable for casual wear. wear. Part of the Fashion category, these jeans offer a stylish and comfortable option for everyday use."
133,Casual Jacket 133,Fashion,7060.67,"This Casual Jacket 133 is a fashion item designed for everyday wear. Suitable for casual occasions, it is part of the fashion category. Made from a material not specified, it is available for ₹7060.67."
134,Running Sneakers 134,Fashion,7591.51,"Running Sneakers 134 is a fashion footwear product designed for athletic activities and casual wear. Suitable for running, walking, and other sports, this sneaker features a comfortable design and durable materials. It is part of the fashion category, ideal for those looking for stylish and functional footwear."
135,Pullover Hoodie 135,Fashion,959.53,"This Pullover Hoodie 135 is a fashion item suitable for casual, everyday wear. it provides warmth and comfort for outdoor activities or general use. Its design features a pullover style with a hood for added protection from the elements. The hoodie is available for ₹ ₹959.53."
136,Travel Backpack 136,Fashion,4042.13,"The Travel Backpack 136 is a fashion accessory suitable for carrying personal items while traveling. It is designed to provide a convenient and organized way to transport essentials, making it a practical choice for individuals who value mobility and convenience."
137,Wrist Watch 137,Fashion,832.94,"This wrist watch is a fashion accessory suitable for everyday wear. Its category places it among style-conscious individuals. With a price point of ₹832.94, it is a moderately priced fashion item."
138,Sunglasses 138,Fashion,6156.64,"Sunglasses 138 are a fashion accessory designed to provide eye protection and style. They fall under the category of fashion, intended to enhance one's overall look. With a price of ₹6156.64, they are a for those seeking a stylish accessory."
139,Casual Shoes 139,Fashion,6196.93,"Casual Shoes 139 are fashion shoes designed for everyday wear. They are suitable for casual occasions and complement a variety of outfits. With a stylish design, they are perfect for those looking to upgrade their footwear collection."
140,Baseball Cap 140,Fashion,1288.61,This Baseball Cap 140 is a fashion accessory designed to be worn on the head. It falls under the category of clothing and is intended for everyday wear.
141,Python Programming Book 141,Books,1319.39,"A Python Programming Book 141 is a comprehensive resource for learning the Python programming language. This book is part of the programming category, category, offering insights and knowledge for those interested in programming and software development. It provides in-depth information and guidelines for mastering Python programming skills."
142,Data Science Book 142,Books,1487.06,"A Data Science Book is a publication focused on the field of data science, providing knowledge and insights to those interested in the subject. It is a resource suitable for individuals seeking to learn about data science concepts and techniques. The book is priced at ₹1487.06."
143,Machine Learning Book 143,Books,846.38,"A book on machine learning, suitable for individuals interested in the subject, is a resource for learning and understanding machine learning concepts."
144,AI Fundamentals Book 144,Books,2212.97,"A book titled ""AI Fundamentals Book 144"" is a publication for learning the fundamentals of Artificial Intelligence. It falls under the category of Books, and is priced at ₹2212.97."
145,Database Systems Book 145,Books,1202.06,"A book titled ""Database Systems Book 145"" is a resource for learning about database systems, a category of computer science that deals with data storage and management. It is suitable for readers seeking information on database systems."
146,Operating Systems Book 146,Books,726.55,"This book is a resource for those interested in operating systems, offering a comprehensive collection of information on the subject. It falls under the category of books, which are suitable for those seeking knowledge on various topics, including technology and computing."
147,Computer Networks Book 147,Books,1463.42,"This book, Computer Networks Book 147, is a resource in the Books category. category. It serves as a detailed study guide for understanding computer networks, providing comprehensive information on the subject."
148,Java Programming Book 148,Books,1892.34,This Java Programming Book 148 is a resource for those looking to learn or improve their programming skills. It belongs to the Books category.
149,Algorithms Book 149,Books,702.59,"A comprehensive book on algorithms, suitable for students, professionals, or enthusiasts looking to learn about algorithms, data structures, and their applications in computer science. This book is a valuable resource for those interested in understanding the theoretical foundations of algorithms and their practical implementation."
150,Cloud Computing Book 150,Books,951.36,"The Cloud Computing Book 150 is a resource for individuals interested in learning about cloud computing, a key aspect of modern computing. This book provides a comprehensive overview of cloud computing, making it an ideal choice for those looking to expand their knowledge in the field."
151,Table Lamp 151,Home,11943.25,This Table Lamp 151 is a home accessory designed to provide lighting for a room. It is a table lamp suitable for general lighting tasks.
152,Ergonomic Office Chair 152,Home,7903.57,"This ergonomic office chair is designed for comfort and support in a home setting. Suitable for individuals who spend long hours sitting, it provides a comfortable seating experience. this chair is intended for general office use, such as working or studying."
153,Cotton Bed Sheet 153,Home,5425.77,"A Cotton Bed Sheet 153 is a bed sheet designed for sleeping purposes, falling under the Home category."
154,Window Curtains 154,Home,6355.64,Window Curtains 154 are a home decor item designed to provide privacy and shade for windows. They are suitable for general home interior design and aesthetic purposes.
155,Wall Clock 155,Home,1715.75,"The Wall Clock 155 is a home decorative item, designed to be hung on a wall and display the time. It is suitable for everyday use in a living space, adding a touch of elegance to any room. Made of a durable material, this wall clock is a practical addition to any home."
156,Storage Organizer 156,Home,2928.96,"A Storage Organizer 156 is a home storage solution designed to keep your living space organized. It is suitable for storing personal items, keeping clutter at bay, and maintaining a tidy environment. This storage unit can be placed in a bedroom, office, or living room to help maintain order and serenity."
157,Decorative Cushion 157,Home,4255.6,"This Decorative Cushion 157 is a home accessory designed to add a touch of elegance to any room. Its purpose is to provide comfort and style through its decorative design. It is a part of the home category, making it suitable for use in living spaces, bedrooms, or any room that requires a decorative accent."
158,Desk Organizer 158,Home,7183.21,"This Desk Organizer 158 is a home accessory designed to help maintain a clutter-free workspace. Its purpose is to provide a convenient and organized space for placing office supplies and documents. Suitable for use in home offices, study areas, and desks, this product helps to improve productivity and overall workspace organization."
159,Steel Water Bottle 159,Home,2992.34,"A steel water bottle, suitable for storing and carrying drinking water, is a household item often used in the home category. This bottle is made of steel and priced at ₹2992.34."
160,Home Decor Set 160,Home,2876.54,This Home Decor Set 160 is a home accessory designed to enhance interior design. It belongs to the home category.
161,Football 161,Sports,1081.53,The Football 161 is a sports equipment item suitable for playing football.
